#Bulk Export - Points as recorded,,,,,,,,,,,,,,
,27-69-25abc,26-68-12cbd,26-68-36bbb,25-68-12dda,25-68-15bbd,25-68-24aad,25-067-19dda,26-68-31aaa,25-67-34ccd,24-68-10aaa,24-68-20bbb,24-68-32ddc,24-68-22aab,24-67-21aab
,Cottonwood Creek #1,Earl Rutherford,Platte County #5,Platte County #4,Platte County #6,Platte County #3,Ed Wilhelm,Platte County #7,Platte County #2,Platte County #7B,Platte County #8,Platte County #9,Platte County #1A,Ed Preuit
,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits,Well Depth.Field Visits
Timestamp (UTC),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft),Value (ft)
2013-10-09 08:30:59,,,,,,,,,,,,,99.45,
2013-10-09 08:51:00,,,,,,,,,,,,39.87,,
2013-10-09 09:20:00,,,,,,,,,,,27.66,,,
2013-10-09 09:45:00,,,,,,,,39,,,,,,
2013-10-09 10:25:00,,,,,,,,,,11.36,,,,
2013-10-09 11:13:59,,,,,,,,,,,,,,27.11
2013-10-09 11:45:00,,,,,,,,,93,,,,,
2013-10-09 12:18:59,,,,,,,66.98,,,,,,,
2013-10-09 12:36:00,,,,,,75.32,,,,,,,,
2013-10-09 12:53:00,,,,26.64,,,,,,,,,,
2013-10-09 13:08:00,,,174.29,,,,,,,,,,,
2013-10-09 13:50:59,,133.17,,,,,,,,,,,,
2013-10-09 14:25:00,13.339999999999998,,,,,,,,,,,,,
2013-11-13 12:04:59,,,,,94.2,,,,,,,,,
2014-11-13 08:55:00,,,,,,,,,,,,,99.36,
2014-11-13 09:43:59,,,,,,,,,,,,29.689999999999998,,
2014-11-13 10:11:00,,,,,,,,,,,24.41,,,
2014-11-13 10:41:00,,,,,,,,34.66,,,,,,
2014-11-13 11:07:59,,,,,,,,,,8.75,,,,
2014-11-13 11:45:59,,,,,,,,,,,,,,25.02
2014-11-13 12:53:59,,,,,,,,,92.59,,,,,
2014-11-13 13:24:00,,,,,,,63.580000000000005,,,,,,,
2014-11-13 13:47:00,,,,,,73.91,,,,,,,,
2014-11-13 14:13:59,,,,23.44,,,,,,,,,,
2014-11-13 14:29:59,,,172.53,,,,,,,,,,,
2014-11-13 15:15:59,,131.91,,,,,,,,,,,,
2014-11-13 15:46:59,11.87,,,,,,,,,,,,,
2014-11-13 16:54:00,,,,,95.1,,,,,,,,,
2015-04-01 09:36:00,,,,,,,62.68999999999999,,,,,,,
2015-04-01 11:54:00,,,,,87.39,,,,,,,,,
2015-04-01 13:33:00,,,,,,,,,,,,33.21,,
2015-06-02 08:34:00,,,,,,,,,,,,,102.37,
2015-06-02 08:53:00,,,,,,,,,,,,32.74,,
2015-06-02 09:11:00,,,,,,,,,,,25.35,,,
2015-06-02 09:47:00,,,,,,,,33.08,,,,,,
2015-06-02 10:04:00,,,,,,,,,,9.36,,,,
2015-06-02 10:29:00,,,,,,,,,,,,,,23.21
2015-06-02 11:06:00,,,,,,,,,91.94,,,,,
2015-06-02 11:34:00,,,,,,,60.63999999999999,,,,,,,
2015-06-02 11:52:00,,,,,,73.24,,,,,,,,
2015-06-02 12:15:00,,,,19.14,,,,,,,,,,
2015-06-02 12:42:00,,,169.29,,,,,,,,,,,
2015-06-02 13:01:00,,129.91,,,,,,,,,,,,
2015-06-02 13:32:00,9.16,,,,,,,,,,,,,
2015-06-02 14:22:00,,,,,85.01,,,,,,,,,
2015-12-08 08:24:00,,,,,,,,,,,,,98.34,
2015-12-08 08:52:00,,,,,,,,,,,,28.92,,
2015-12-08 09:11:00,,,,,,,,,,,22.36,,,
2015-12-08 09:31:00,,,,,,,,31.94,,,,,,
2015-12-08 09:54:00,,,,,,,,,,8.42,,,,
2015-12-08 10:23:00,,,,,,,,,,,,,,24.85
2015-12-08 10:59:00,,,,,,,,,91.39,,,,,
2015-12-08 11:26:00,,,,,,,62.480000000000004,,,,,,,
